Feature,Importance,SharePct,CumSharePct,Rank
onehot_cat__Gender_Total,0.5610360148417002,56.10360148417001,56.10360148417001,1
country_enc__Occupation,0.22578535830343444,22.57853583034344,78.68213731451345,2
country_enc__Country,0.10827583543936323,10.82758354393632,89.50972085844978,3
num__log_RD_Expenditure_GDP_Percent,0.02821713846321604,2.821713846321604,92.33143470477138,4
num__log_Trade_Value_usd,0.02577241548960536,2.5772415489605356,94.90867625373191,5
num__log_Alternative_Quantity_Value,0.008668206190050431,0.8668206190050429,95.77549687273695,6
onehot_cat__Gender_Female,0.008548138758035347,0.8548138758035344,96.63031074854048,7
onehot_cat__Gender_Male,0.0047900021591241486,0.47900021591241476,97.1093109644529,8
num__log_Gross_Weight_Estimated,0.00478753774837044,0.4787537748370439,97.58806473928995,9
onehot_cat__Year_Group_2000s,0.0021255711041862128,0.21255711041862121,97.80062184970856,10
